title,description,image_url,base_price,category,tags,dimensions
"Sunset at Golden Gate","Stunning capture of the Golden Gate Bridge at sunset with vibrant orange and pink hues reflecting off the San Francisco Bay",https://images.unsplash.com/photo-1501594907352-04cda38ebc29,89.99,landscape,"sunset,bridge,san francisco,california,golden hour,architecture","3000x2000"
"Mountain Reflection","Crystal clear alpine lake perfectly mirroring snow-capped peaks in the early morning light",https://images.unsplash.com/photo-1506905925346-21bda4d32df4,79.99,nature,"mountains,lake,reflection,alpine,landscape,morning","4000x2667"
"Urban Night Lights","Dynamic cityscape showcasing the energy of downtown with light trails from passing traffic",https://images.unsplash.com/photo-1514565131-fce0801e5785,69.99,urban,"city,night,lights,urban,architecture,long exposure","3500x2333"
"Ocean Waves at Dawn","Powerful waves crashing against rocky coastline as the sun rises over the Pacific",https://images.unsplash.com/photo-1505142468610-359e7d316be0,74.99,seascape,"ocean,waves,sunrise,coast,water,nature","3200x2133"
"Desert Dunes","Mesmerizing patterns in sand dunes created by wind, captured during golden hour",https://images.unsplash.com/photo-1509316785289-025f5b846b35,84.99,landscape,"desert,dunes,sand,patterns,golden hour,nature","3600x2400"
"Forest Mist","Enchanting morning mist weaving through ancient redwood trees",https://images.unsplash.com/photo-1511497584788-876760111969,79.99,nature,"forest,mist,trees,redwood,morning,mystical","3000x2000"
"Northern Lights","Spectacular aurora borealis dancing across the Arctic sky",https://images.unsplash.com/photo-1531366936337-7c912a4589a7,94.99,nature,"aurora,northern lights,arctic,night sky,phenomenon","4000x2667"
"Autumn Path","Winding trail through vibrant fall foliage in New England",https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d,69.99,nature,"autumn,fall,foliage,trail,forest,seasonal","3200x2133"
"Lighthouse Storm","Dramatic lighthouse standing strong against crashing storm waves",https://images.unsplash.com/photo-1548992087-86d8a64c7df2,89.99,seascape,"lighthouse,storm,waves,dramatic,ocean,weather","3500x2333"
"Cherry Blossoms","Delicate pink cherry blossoms framing Mount Fuji in spring",https://images.unsplash.com/photo-1522383225653-ed111181a951,84.99,nature,"cherry blossom,japan,mount fuji,spring,flowers","3600x2400"
"Venice Canals","Romantic gondola gliding through historic Venetian waterways at sunset",https://images.unsplash.com/photo-1514890547357-a9ee288728e0,79.99,urban,"venice,italy,canal,gondola,sunset,architecture","3000x2000"
"Wildlife Safari","Majestic lion surveying the African savanna at golden hour",https://images.unsplash.com/photo-1614531341773-3bff8b7cb3fc,99.99,wildlife,"lion,safari,africa,wildlife,savanna,golden hour","4000x2667"
"Tropical Paradise","Crystal clear turquoise waters surrounding a pristine coral reef",https://images.unsplash.com/photo-1559827260-dc66d52bef19,74.99,seascape,"tropical,beach,coral,ocean,paradise,underwater","3200x2133"
"Snowy Peaks","Dramatic mountain range covered in fresh powder snow",https://images.unsplash.com/photo-1519904981063-b0cf448d479e,84.99,landscape,"mountains,snow,winter,peaks,alpine,dramatic","3500x2333"
"City Rain","Reflective wet streets creating urban mirror effects after rainfall",https://images.unsplash.com/photo-1428908728789-d2de25dbd4e2,69.99,urban,"rain,city,reflection,urban,night,wet streets","3000x2000"
"Starry Night","Milky Way galaxy stretching across the desert night sky",https://images.unsplash.com/photo-1419242902214-272b3f66ee7a,94.99,astrophotography,"stars,milky way,night sky,desert,galaxy,astronomy","4000x2667"
"Coastal Cliffs","Rugged cliffs meeting the Atlantic Ocean in Ireland",https://images.unsplash.com/photo-1506953823976-52e1fdc0149a,79.99,landscape,"cliffs,coast,ireland,ocean,rugged,nature","3200x2133"
"Tokyo Streets","Neon-lit streets of Shibuya district bustling with life",https://images.unsplash.com/photo-1540959733332-eab4deabeeaf,74.99,urban,"tokyo,japan,neon,urban,night life,street","3500x2333"
"Waterfall Wonder","Powerful waterfall cascading through lush green rainforest",https://images.unsplash.com/photo-1434394354979-a235cd36269d,84.99,nature,"waterfall,rainforest,nature,water,green,tropical","3600x2400"
"Arctic Wildlife","Polar bear navigating Arctic ice floes",https://images.unsplash.com/photo-1560707303-4e980ce876ad,99.99,wildlife,"polar bear,arctic,wildlife,ice,nature,climate","3000x2000"
